date,symbol,asset_name,asset_class,close
2024-04-03,510300.SS,沪深300ETF,csi_300,3.347
2024-04-08,510300.SS,沪深300ETF,csi_300,3.318
2024-04-09,510300.SS,沪深300ETF,csi_300,3.312
2024-04-10,510300.SS,沪深300ETF,csi_300,3.286
2024-04-11,510300.SS,沪深300ETF,csi_300,3.283
2024-04-12,510300.SS,沪深300ETF,csi_300,3.255
2024-04-15,510300.SS,沪深300ETF,csi_300,3.328
2024-04-16,510300.SS,沪深300ETF,csi_300,3.296
2024-04-17,510300.SS,沪深300ETF,csi_300,3.342
2024-04-18,510300.SS,沪深300ETF,csi_300,3.348
2024-04-19,510300.SS,沪深300ETF,csi_300,3.32
2024-04-22,510300.SS,沪深300ETF,csi_300,3.313
2024-04-23,510300.SS,沪深300ETF,csi_300,3.288
2024-04-24,510300.SS,沪深300ETF,csi_300,3.302
2024-04-25,510300.SS,沪深300ETF,csi_300,3.312
2024-04-26,510300.SS,沪深300ETF,csi_300,3.362
2024-04-29,510300.SS,沪深300ETF,csi_300,3.405
2024-04-30,510300.SS,沪深300ETF,csi_300,3.387
2024-05-06,510300.SS,沪深300ETF,csi_300,3.437
2024-05-07,510300.SS,沪深300ETF,csi_300,3.439
2024-05-08,510300.SS,沪深300ETF,csi_300,3.41
2024-05-09,510300.SS,沪深300ETF,csi_300,3.445
2024-05-10,510300.SS,沪深300ETF,csi_300,3.447
2024-05-13,510300.SS,沪深300ETF,csi_300,3.444
2024-05-14,510300.SS,沪深300ETF,csi_300,3.438
2024-05-15,510300.SS,沪深300ETF,csi_300,3.412
2024-05-16,510300.SS,沪深300ETF,csi_300,3.424
2024-05-17,510300.SS,沪深300ETF,csi_300,3.465
2024-05-20,510300.SS,沪深300ETF,csi_300,3.473
2024-05-21,510300.SS,沪深300ETF,csi_300,3.461
2024-05-22,510300.SS,沪深300ETF,csi_300,3.469
2024-05-23,510300.SS,沪深300ETF,csi_300,3.432
2024-05-24,510300.SS,沪深300ETF,csi_300,3.391
2024-05-27,510300.SS,沪深300ETF,csi_300,3.421
2024-05-28,510300.SS,沪深300ETF,csi_300,3.398
2024-05-29,510300.SS,沪深300ETF,csi_300,3.399
2024-05-30,510300.SS,沪深300ETF,csi_300,3.385
2024-05-31,510300.SS,沪深300ETF,csi_300,3.371
2024-06-03,510300.SS,沪深300ETF,csi_300,3.376
2024-06-04,510300.SS,沪深300ETF,csi_300,3.401
2024-06-05,510300.SS,沪深300ETF,csi_300,3.388
2024-06-06,510300.SS,沪深300ETF,csi_300,3.388
2024-06-07,510300.SS,沪深300ETF,csi_300,3.365
2024-06-11,510300.SS,沪深300ETF,csi_300,3.34
2024-06-12,510300.SS,沪深300ETF,csi_300,3.336
2024-06-13,510300.SS,沪深300ETF,csi_300,3.323
2024-06-14,510300.SS,沪深300ETF,csi_300,3.343
2024-06-17,510300.SS,沪深300ETF,csi_300,3.333
2024-06-18,510300.SS,沪深300ETF,csi_300,3.344
2024-06-19,510300.SS,沪深300ETF,csi_300,3.334
2024-06-20,510300.SS,沪深300ETF,csi_300,3.311
2024-06-21,510300.SS,沪深300ETF,csi_300,3.305
2024-06-24,510300.SS,沪深300ETF,csi_300,3.288
2024-06-25,510300.SS,沪深300ETF,csi_300,3.267
2024-06-26,510300.SS,沪深300ETF,csi_300,3.288
2024-06-27,510300.SS,沪深300ETF,csi_300,3.269
2024-06-28,510300.SS,沪深300ETF,csi_300,3.276
2024-07-01,510300.SS,沪深300ETF,csi_300,3.29
2024-07-02,510300.SS,沪深300ETF,csi_300,3.285
2024-07-03,510300.SS,沪深300ETF,csi_300,3.279
2024-07-04,510300.SS,沪深300ETF,csi_300,3.264
2024-07-05,510300.SS,沪深300ETF,csi_300,3.247
2024-07-08,510300.SS,沪深300ETF,csi_300,3.223
2024-07-09,510300.SS,沪深300ETF,csi_300,3.26
2024-07-10,510300.SS,沪深300ETF,csi_300,3.252
2024-07-11,510300.SS,沪深300ETF,csi_300,3.298
2024-07-12,510300.SS,沪深300ETF,csi_300,3.308
2024-07-15,510300.SS,沪深300ETF,csi_300,3.315
2024-07-16,510300.SS,沪深300ETF,csi_300,3.34
2024-07-17,510300.SS,沪深300ETF,csi_300,3.345
2024-07-18,510300.SS,沪深300ETF,csi_300,3.366
2024-07-19,510300.SS,沪深300ETF,csi_300,3.389
2024-07-22,510300.SS,沪深300ETF,csi_300,3.36
2024-07-23,510300.SS,沪深300ETF,csi_300,3.29
2024-07-24,510300.SS,沪深300ETF,csi_300,3.268
2024-07-25,510300.SS,沪深300ETF,csi_300,3.248
2024-07-26,510300.SS,沪深300ETF,csi_300,3.263
2024-07-29,510300.SS,沪深300ETF,csi_300,3.243
2024-07-30,510300.SS,沪深300ETF,csi_300,3.22
2024-07-31,510300.SS,沪深300ETF,csi_300,3.297
2024-08-01,510300.SS,沪深300ETF,csi_300,3.272
2024-08-02,510300.SS,沪深300ETF,csi_300,3.236
2024-08-05,510300.SS,沪深300ETF,csi_300,3.197
2024-08-06,510300.SS,沪深300ETF,csi_300,3.197
2024-08-07,510300.SS,沪深300ETF,csi_300,3.19
2024-08-08,510300.SS,沪深300ETF,csi_300,3.194
2024-08-09,510300.SS,沪深300ETF,csi_300,3.182
2024-08-12,510300.SS,沪深300ETF,csi_300,3.178
2024-08-13,510300.SS,沪深300ETF,csi_300,3.183
2024-08-14,510300.SS,沪深300ETF,csi_300,3.159
2024-08-15,510300.SS,沪深300ETF,csi_300,3.197
2024-08-16,510300.SS,沪深300ETF,csi_300,3.199
2024-08-19,510300.SS,沪深300ETF,csi_300,3.208
2024-08-20,510300.SS,沪深300ETF,csi_300,3.192
2024-08-21,510300.SS,沪深300ETF,csi_300,3.177
2024-08-22,510300.SS,沪深300ETF,csi_300,3.168
2024-08-23,510300.SS,沪深300ETF,csi_300,3.182
2024-08-26,510300.SS,沪深300ETF,csi_300,3.183
2024-08-27,510300.SS,沪深300ETF,csi_300,3.166
2024-08-28,510300.SS,沪深300ETF,csi_300,3.146
2024-08-29,510300.SS,沪深300ETF,csi_300,3.136
2024-08-30,510300.SS,沪深300ETF,csi_300,3.181
2024-09-02,510300.SS,沪深300ETF,csi_300,3.121
2024-09-03,510300.SS,沪深300ETF,csi_300,3.133
2024-09-04,510300.SS,沪深300ETF,csi_300,3.112
2024-09-05,510300.SS,沪深300ETF,csi_300,3.119
2024-09-06,510300.SS,沪深300ETF,csi_300,3.091
2024-09-09,510300.SS,沪深300ETF,csi_300,3.05
